Headline,Body ID,Stance
'There is no limit to their depravity' Islamic State FEED mother her own SON,2367,unrelated
Meteorite leaves crater in Nicaraguan capital Managua,269,unrelated
Mexico checks if 43 missing students in mass grave,1984,discuss
Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,1637,discuss
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",1931,discuss
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,1040,unrelated
Parliament Hill shooting: Sergeant-At-Arms Kevin Vickers the family hero who took down Ottawa gunman,2404,unrelated
Nun gives birth to surprise baby after complaining of stomach pains,2479,discuss
Homeland Security: No ISIL fighters on U.S. border,2385,agree
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",1981,unrelated
ISIS militants trick mother into ‘eating her kidnapped son’,2463,unrelated
"Luke Somers, American Hostage, Is Killed During Rescue Attempt in Yemen, U.S. Official Says",1165,unrelated
"No, there aren’t any Ebola cases in Iraq",1175,agree
Ferguson riots: audio may have captured Michael Brown shooting,2248,unrelated
Latest iOS 8 bug reportedly causes unwanted deletion of iCloud Drive documents,906,unrelated
Is this the world's oldest burger? Man claims to have kept McDonald's Quarter Pounder for 20 YEARS,1789,unrelated
Officials shoot down congressman's claims ISIS terrorists are running across US-Mexico border,239,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1358,unrelated
Airport worker strips naked at security scanner in protest against guards,1808,unrelated
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2268,unrelated
Graffiti Artist Banksy Arrested In London; Identity Revealed,1898,unrelated
Texas Truck Winds Up in Syria With Islamic Militants,2084,unrelated
"Mexico hit by student massacre: At least 17 anti-corruption protesters 'rounded up, murdered and dumped in a mass grave' - and another 26 are missing",1269,unrelated
ISIS video showing beheading triggers international response,331,unrelated
"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",1972,discuss
"McDonald’s to Stop Serving Overweight Customers in January? Nope, ‘1/15/2015′ Story is Fake",906,agree
Cameron vows to hunt down IS 'monsters' after Haines murder,1477,unrelated
ISIS Beheads American Journalist,1351,unrelated
Heartwarming video shows son revealing he’s paid off parent’s mortgage as a Christmas gift,1439,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,1481,unrelated
ISIS video showing beheading triggers international response,2206,discuss
Was The Video Of That Homeless Man Doing Good Deeds With $100 All An Elaborate Hoax!?,1388,discuss
ISIS fighters seize weapons airdrop meant for Kurds,1949,agree
Parents are furious after seven girls aged 13-14 fall pregnant on a school trip,1981,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,800,unrelated
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,618,unrelated
Anna Wintour 'refuses to work at new World Trade Center Vogue office due to rat infestation',2520,discuss
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1361,unrelated
Has The Batman Vs. Superman Batmobile Been Stolen In Detroit?,1808,unrelated
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,788,unrelated
James Foley remembered as 'brave and tireless' journalist,2524,agree
"Iraq claims ISIS leader al-Baghdadi’s wife has NOT been arrested, despite Lebanon insisting woman detained at border told them she was Islamist extremist’s spouse",1787,unrelated
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,269,unrelated
American hostage in Yemen freed in military raid-Defence Ministry,1119,discuss
British rapper a suspect in ISIS beheading,1478,unrelated
"Obama, Outraged Over Beheading, Vows to Stay on Course",826,unrelated
SEE IT: California homeless man uses $100 gift to give food to others,615,unrelated
Kimye’s Fault? Anna Wintour’s NYC ‘Vogue’ Offices Hit With Disgusting Rat Infestation: ‘Rat Droppings On Desks’,1020,unrelated
Christian Bale won't play Steve Jobs,1299,agree
Hoax 'Banksy Arrested in London' Story Dupes the Internet Again,1481,unrelated
Apple Watch mass production kicks off in January: Report,1742,unrelated
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,35,unrelated
Rapper identified as James Foley's executioner: reports,195,unrelated
Ferguson riots: audio may have captured Michael Brown shooting,2234,unrelated
"Sons of Anarchy Movie? No, Kurt Sutter Announces Charlie Hunnam, Brad Pitt Film Article is Fake",1097,unrelated
Founding Fathers-Era Time Capsule Found in Boston,1239,unrelated
Penis Spray-Painted on a $2.5 Million Car Was Just for a Prank Video,1435,unrelated
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,1361,unrelated
Rajasthan: Angry mob teaches rapist a lesson; chops penis off,2196,unrelated
ISIS Militants Allegedly Contracted Ebola,2197,unrelated
US hostage Luke Somers dies after rescue bid,56,unrelated
"Tour, agent: Tiger Woods not banned",1339,agree
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,1787,unrelated
Video messaging service verifies timing of CNN audio recording,1803,unrelated
Missing Mexican students 'not found in mass grave',1789,unrelated
Weather Reporter Mike Seidel Was Caught Off Guard on Live TV and Appeared to Be Urinating in the Snow -- Watch!,1968,discuss
Texas City plumber's truck ends up in Syrian war,1562,unrelated
ESPN to save NFL's image with all-male domestic abuse discussion,1699,disagree
North Korea dictator Kim Jong-un undergoes surgery after breaking both ankles on military tour,1634,unrelated
British Aid Worker Confirmed Murdered By ISIS,1528,unrelated
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,789,discuss
Lebanon detains wife and son of Al-Baghdadi,670,discuss
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",2177,unrelated
BREAKING NEWS: Gunman 'shot dead' after wounding soldier near Canada parliament,505,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,615,unrelated
REPORT: The Batmobile Might Have Been Stolen In Detroit,2135,discuss
ISIS cracks down on five confirmed Ebola cases among fighters: official,125,unrelated
‘Star Wars: The Force Awakens’ May Get An Early Release Date—Report,1372,unrelated
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,793,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,742,unrelated
South Korea: Kim Jong Un had ankle surgery to remove cyst,1634,unrelated
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",139,unrelated
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,571,unrelated
Isis militants claim to have killed US journalist James Foley,2386,discuss
Boko Haram denies it has agreed ceasefire,1681,discuss
"Meteorite makes big crater in Nicaragua, government says",2307,unrelated
See the Crater a Meteorite Made in Nicaragua,971,unrelated
Has The Batman Vs. Superman Batmobile Been Stolen In Detroit?,1224,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",125,unrelated
Don’t ‘Reset All Settings’ in iOS 8 unless you want to lose your iCloud files,221,unrelated
Priest' claim of seeing God as a woman dismissed as hoax,1227,agree
Utah Man Hospitalized After Winning Eggnog Chugging Contest,1325,unrelated
Jordanian airstrike killed American aid worker held hostage by ISIS according to statement by militants,1588,unrelated
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,787,unrelated
ISIL allegedly kills US journalist in video,1547,unrelated
"North Korean leader Kim Jong-un not missing, just having ankle surgery",532,unrelated
"Report: The Apple Watch Will Only Last 2.5 Hours With ""Heavy"" Use",1212,unrelated
Man Chops Off and Throws Away His Small Penis After Bad Breakup,2330,unrelated
Durex is not confirming or denying rumors of a “pumpkin spice” condom,698,unrelated
BREAKING NEWS: Baseball star Jose Canseco hurt in accidental shooting,1840,unrelated
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,1053,agree
"Cloistered nun gives birth to a baby  The convent: ""There is a sister"" [Google Translate]",1307,discuss
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,2367,unrelated
MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,139,unrelated
"Woman catches husband cheating with her twin, humiliates them",2284,unrelated
An audio recording of the Michael Brown shooting has reportedly surfaced,968,unrelated
ISIS Video Claims to Show Beheading of British Hostage,2348,discuss
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",313,unrelated
Mexico Says Students Not Among Dead in Mass Grave,1849,unrelated
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",2445,unrelated
Tiger Woods prices private island at $7.1 million,2444,agree
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,2123,discuss
Obama: murder of James Foley 'shocks the conscience of the entire world',2096,discuss
ISIL video claims beheading of kidnapped journalist James Foley,1295,unrelated
There has been a shooting at the War Memorial on Parliament Hill. Unconfirmed reports say a soldier was shot.,1466,unrelated
GOP Rep. Duncan Hunter Claims 'At Least' 10 ISIS Fighters Apprehended On Texas Border,690,unrelated
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,2272,discuss
BREAKING Gill Rosenberg former IDF soldier was captured by ISIS,2037,disagree
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,1347,unrelated
"Ann Arbor pizza delivery driver surprised with $2,000 tip",51,unrelated
Spider burrowed through tourist's stomach and up into his chest,1864,discuss
The Force Awakens News: Director J.J. Abrams Eyes Summer Release for Star Wars 7 Because of Too Many Spoilers,748,unrelated
UPDATE: Internet report of Ebola outbreak in Purdon not true,662,unrelated
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,2468,agree
Amazon.com to open first physical store in Manhattan: DJ,2299,unrelated
Passenger Wears A Hazmat Suit To Dulles Airport,43,unrelated
Gateway Pundit,1314,discuss
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,2130,unrelated
"Islamic State Militants Have Been Flying 3 Captured Warplanes Over Syrian Airport, Witnesses Say",2068,discuss
Tiger Woods' former luxury island goes on sale,1802,unrelated
Meteorite leaves crater in Nicaraguan capital Managua,220,unrelated
"This boy nearly died, now he has a superpower like Marvel’s Magneto",2109,discuss
"Gold Apple Watch Edition price? Speculators say at least $10,000",2187,discuss
"Sorry, Everyone: Durex Is Unfortunately Not Making Pumpkin Spice Condoms",244,unrelated
Isilkulskom student has gained superhero powers after shock,1808,unrelated
Who Should Play Steve Jobs Now That Christian Bale Quit?,571,unrelated
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",1802,discuss
"Islamic State Training Pilots in Military Jets, Monitors Say",2188,unrelated
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,1222,unrelated
Rodney Constantine keeps Facebook promise and turns himself in to police,2002,unrelated
SEE IT: California homeless man uses $100 gift to give food to others,643,unrelated
Isis militants claim to have killed US journalist James Foley,2130,unrelated
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",2123,unrelated
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,304,unrelated
Watch NAKED airport worker walk through scanner in bizarre protest against 'rough' guards,1786,unrelated
Dog found abandoned outside railway station with suitcase of his belongings,2483,agree
Missing Libyan aircraft spark fears of 9/11-style attack in North Africa,2317,unrelated
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",2043,unrelated
Man Severed Penis That Failed To Impress Girls,1171,agree
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2385,disagree
Confusion as Cuba’s Castro mourned instead of Kenya’s Fidel,2251,discuss
Did Comcast Get a Man Fired From His Job for Complaining About Its Service?,86,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,1885,disagree
MCDONALD’S WILL STOP SERVING OVERWEIGHT CUSTOMERS BEGINNING 1/1/15,959,unrelated
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1295,unrelated
'There is no limit to their depravity' Islamic State FEED mother her own SON,2175,unrelated
The 'cub of Baghdadi': Has this boy become the youngest victim of Isis’s use of child soldiers?,1261,unrelated
IS Militants Kill 300 Iraqi Soldiers with Chlorine Gas,2224,discuss
Christian Bale to Play Steve Jobs in New Movie,1897,unrelated
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,2118,unrelated
Militant Group Says It Killed American Journalist in Syria,1251,unrelated
Kim Jong-un 'Had Surgery on Fractured Ankles',2210,unrelated
"US Drones, Hunting for ISIS Leader, Seen Flying over Syrian Airspace",1802,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,2356,discuss
Kimye’s Fault? Anna Wintour’s NYC ‘Vogue’ Offices Hit With Disgusting Rat Infestation: ‘Rat Droppings On Desks’,304,unrelated
Zack Snyder’s ‘Batman V Superman: Dawn Of Justice’ Stolen Batmobile Rumor Put To Rest,2251,unrelated
Meet The College Student Who Claims She Was The ‘Teletubbies’ Sun Baby,979,unrelated
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,1254,discuss
"Boko Haram denies cease-fire, leader says he married off kidnapped girls",35,unrelated
"UK spies identify Foley’s killer, Abdel-Majed Abdel Bary a key suspect",1649,unrelated
Indian worker sacked after going on leave for 24 years,505,unrelated
'Jihadi John' named as Mohammed Emwazi from London,527,unrelated
"Apple Media Event Rumored for Late February, Apple Watch and 12"" MacBook Air Likely Topics [Updated]",900,unrelated
Opposition group: ISIS militants training to fly warplanes in Syria,2218,unrelated
Mexican investigators fear mass grave might hold 43 missing students,1351,unrelated
ISIS fighters ‘have contracted Ebola’,2299,unrelated
Seven girls as young as 13 become pregnant on a school trip,571,unrelated
"ISIS Claims Female American Hostage, Kayla Mueller, Killed in Airstrike",1769,unrelated
Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,2463,unrelated
ISIL allegedly kills US journalist in video,139,unrelated
Man Severed Penis That Failed To Impress Girls,2330,unrelated
ISIS Claims To Have Captured US Airdrop Weapons,2483,unrelated
"Tee-off in your own putting paradise: Swedish luxury island owned by Tiger Woods up for sale - and it comes with a villa, a hot tub and a lodge",2175,unrelated
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,2341,agree
Sources: Guns N' Roses Frontman Axl Rose Found Dead in West Hollywood Home at Age 52,414,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,1048,unrelated
’6 Days Darkness in December 2014′ 100% Fake; NASA Confirmed 3 Days Total Darkness Hoax as Well,804,unrelated
ISIS Getting Ebola,992,disagree
Libya: Missing Libya Planes Spark Security Concerns,126,unrelated
Research Medical Center denies reports that a patient has Ebola,1095,unrelated
"No, it's not Tiger Woods selling an island in Lake Mälaren",2444,disagree
"Wildest Apple Watch rumor yet: 100,000 apps at launch",1029,unrelated
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",530,unrelated
Boko Haram 'to release abducted schoolgirls' as part of ceasefire agreement,1896,discuss
ISIS cracks down on five confirmed Ebola cases among fighters: official,75,unrelated
"Omar Gonzalez, White House Fence-Jumper, Made it Farther Inside",311,unrelated
"Palestine accuses Israel of opening dams, flooding Gaza, forcing evacuations",1461,unrelated
Boko Haram denies it has agreed ceasefire,992,unrelated
"Vogue's Anna Wintour Pissed Off With New 1 World Trade Center Offices, Infested With Rats",944,unrelated
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,1797,disagree
"Islamic State leader's family detained by Lebanon, officials say",1192,discuss
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2091,unrelated
Seven girls as young as 13 become pregnant on a school trip,313,unrelated
Predator drones being flown over Isil's Syrian 'capital',2367,unrelated
Watch: US marine survives Taliban sniper headshot in Afghanistan,305,agree
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1266,unrelated
"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",490,unrelated
Sugarhill Gang Rapper Big Bank Hank Dies at 57,2351,agree
New Audio Allegedly Captures Moment Michael Brown Was Shot,2118,discuss
Utah Man Hospitalized After Winning Eggnog Chugging Contest,1901,agree
Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,530,unrelated
