Headline,Body ID,Stance
"Despite ceasefire announcement, new Boko Haram attacks reported",2096,unrelated
Small Meteorite Strikes in Nicaragua's Capital City of Managua,715,discuss
Saudi cleric says snowmen are anti-Islamic,1266,agree
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,1966,unrelated
This Is The Most Epic Way To Quit Your Job,858,discuss
CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization Of Police,2235,discuss
"A message from Jim's mom, Diane Foley:",1982,unrelated
A Mass Grave Points to a Student Massacre in Mexico,2375,unrelated
Tiger Woods' former luxury island goes on sale,1660,unrelated
"Boko Haram: Kidnapped Girls Have Been Married Off, Truce Never Happened",2299,unrelated
Missing American journalist reportedly beheaded by Islamic State ,1966,discuss
"Comcast Is Threatening To Cut Off Customers Who Use Tor, The Web Browser For Criminals",1280,unrelated
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",226,agree
Tropical spider 'burrowed under man's skin through scar' - video report,2175,unrelated
Obama: murder of James Foley 'shocks the conscience of the entire world',1628,unrelated
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,227,unrelated
"Apple Targeting March for Apple Watch Launch, Retail Training Begins Next Month",447,unrelated
Report: Christian Bale Drops Out Of Steve Jobs Biopic,919,unrelated
Google to Buy Redwood City Offices for $585M,2147,unrelated
Do all dogs go to heaven? Pope tells grieving boy: 'Paradise is open to all of God’s creatures',169,unrelated
Has The Batman Vs. Superman Batmobile Been Stolen In Detroit?,692,unrelated
"Apple Watch Gold Edition may cost as much as $5,000",570,discuss
Unconfirmed Reports Say UK Hostage Held By ISIS Found Innocent,304,unrelated
Ferguson riots: audio may have captured Michael Brown shooting,1379,discuss
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',1943,unrelated
Seth Rogen set to play Steve Wozniak in Danny Boyle's Steve Jobs biopic,1157,disagree
Ottawa Gunman Identified As Michael Zehaf-Bibeau,2002,unrelated
Vogue’s Shiny New Office Has a Big Rat Problem,1968,unrelated
eBay developing Apple Watch software with ties to iOS app,2321,unrelated
Video messaging service verifies timing of CNN audio recording,2330,unrelated
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,225,unrelated
"Islamic State training fighter pilots in captured jets, monitoring group says",487,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,244,disagree
CNN Plays Alleged Recording of Michael Brown Shooting,2296,unrelated
"Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis",714,discuss
Christian Bale Exits Steve Jobs Movie (Exclusive),286,unrelated
Nicaragua says meteorite probable cause of blast in capital,1939,unrelated
Hoax Busted: Report on Popular 'Dog Whisperer' Cesar Millan's Death is False,742,unrelated
Chinese parents try to SELL their son to pay for medical treatment for his sick twin sister,1562,agree
Tiger Woods' former luxury island goes on sale,1212,agree
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1319,disagree
"What We Know About Kim Yo Jong, Who May Control North Korea",1836,discuss
Seth Rogen to Star as Steve Wozniak in Sony's Steve Jobs Biopic [Updated],1588,unrelated
Texas plumber's truck on front line of Syria war,2192,unrelated
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,1026,unrelated
